Majid	3	10200
mab	3	7800
mm	3	6600
jj	3	4000
mmm	2	13200
Magic	2	13200
Majid	2	12900
harshita	2	11700
man	2	10800
nn	2	10800
hh	2	10200
Yippie	2	6300
majid	2	5700
hhh	2	4000
Majid	1	16200
Magic	1	14700
Meaw	1	14700
knj	1	14400
k	1	13800
krk	1	13800
Macho	1	13500
jjjjj	1	13200
jj	1	12900
ok	1	12900
